SiteCode,SiteID,SampleYear,Location,Treatment,Water,Standing Dead,Litter,Bare Ground,Bryophyte sp.,ACHMILLE,BOECYLIN,BOLFLUVI,BRASCHE,CALCANAD,Calystegia sp.,CAMAPARI,CALSEPIU,CARAQUAT,CARBUXBA,CARCRAWE,CARCOMOS,CARCRYPT,CARLACUS,CARLANGU,CARLASIO,CARSARTW,Carex sp,CERDEME,CHARA SP,CLAMARIS,Cornus Sp.,DECVERTI,DULARUND,ELEPALUS,ELOCANA,Eleocharis Sp,EQUFLUVI,Epuatorium sp.,Fern,Fontinalis Sp,FRAVIRGI,GALLABRA,GALTRIF,HYDMORSU,HYDVERTI,HYPKALMI,IMPCAPEN,IRIVERSA,JUNBALTI,JUNBREVI,Juncus Sp.,LEEORYZO,LEMMINOR,LYCAMERI,LYSTHRYS,Lythrum Sp,LYTSALIC,Myriophyllum sp,MYRSIBI,MYRSPIC,NAJFLEXI,Nitella spp.,NUPLUTE,NYMODOR,PHRAUSTR,PERAMPHI,POLYGONUM SP,PONCORD,POTFOLI,POTGRAMI,POTNATA,POTPRAE,POTRICH,POTZOST,Potamogeton sp.,Rosa Sp,Sagittaria sp.,SAGCUNE,SAGLATIF,SCHPUNGE,SCHTABER,SCIACUTU,Solonaceae Sp.(%),SPARGANIUM SP,SPAEMER,SPAEURY,SPIPOLY,STUPECT,THEPALUS,Typha sp.,UTRGIBBA,UTRINTER,UTRMINO,UTRVULGA,VALAMER,Vicia Sp,ZIZPALUS,Unknown Seedling,Richness,meanC
LPC3116,LPC31,2016,Long Point,Control,9.995002499,4.997501249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.96001999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.047476262,0,0,0,0,0,0,0,0,2,0
LPC3216,LPC32,2016,Long Point,Control,0.049975012,9.995002499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.95502249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LPC3316,LPC33,2016,Long Point,Control,0.049975012,9.995002499,0,0,0,0,0,4.997501249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.97001499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.98750625,0,0,0,0,0,0,0,0,3,2
LPC3416,LPC34,2016,Long Point,Control,29.94011976,0.0499002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.86027944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499002,0,0.0499002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.5
LPC3516,LPC35,2016,Long Point,Control,4.997501249,4.997501249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049975012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.95502249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
LPC3616,LPC36,2016,Long Point,Control,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LPC3716,LPC37,2016,Long Point,Control,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LPC3816,LPC38,2016,Long Point,Control,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LPC3916,LPC39,2016,Long Point,Control,4.992511233,9.985022466,0,0,0,0,0,0,0,0.049925112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925112,0,0,0,0,0,0,0,0,0,0,0,0,79.88017973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.042436345,0,0,0,0,0,0,0,0,4,1.5
LPC4016,LPC40,2016,Long Point,Control,14.98501499,4.995004995,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.92007992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
LPT0516,LPT05,2016,Long Point,Treatment,9.99000999,9.99000999,0,0,0,0,0,0,0,0,0,0,0,9.99000999,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,4.995004995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.96003996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.97502498,0,0,0,0,0,0,0,0,6,3.166666667
LPT0616,LPT06,2016,Long Point,Treatment,4.997501249,4.997501249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049975012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.95502249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
LPT0716,LPT07,2016,Long Point,Treatment,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0
LPT0816,LPT08,2016,Long Point,Treatment,4.997501249,9.995002499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049975012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.96501749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99250375,0,0,0,0,0,0,0,0,3,0
LPT0916,LPT09,2016,Long Point,Treatment,4.997501249,4.997501249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.95502249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049975012,0,0,0,0,0,0,0,0,2,0
LPT1016,LPT10,2016,Long Point,Treatment,4.995004995,4.995004995,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.91008991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
LPT1116,LPT11,2016,Long Point,Treatment,4.997501249,9.995002499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049975012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.96501749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99250375,0,0,0,0,0,0,0,0,3,0
LPT1216,LPT12,2016,Long Point,Treatment,9.99000999,4.995004995,0,0,0,0,0,0,0,0,0,0.04995005,0,4.995004995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.92007992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.5
LPT1316,LPT13,2016,Long Point,Treatment,4.992511233,9.985022466,0,0,0,0,0,0,0,4.992511233,0,0,0,0.049925112,0,0,0,0,0,0,0,0,4.992511233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9101348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925112,0,0,0,0,0,0,0,0,0,0,14.9775337,0,0,0,0,0,0,0,0,7,3
LPT1416,LPT14,2016,Long Point,Treatment,4.992511233,4.992511233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925112,0,0,0,0,0,0,4.992511233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.88017973,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925112,0,0,0,0,0.049925112,0,0,0,0,0,4.992511233,0,0,0,0,0,0,0,0,6,2.833333333
LPT1516,LPT15,2016,Long Point,Treatment,4.995004995,4.995004995,4.995004995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.92007992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.995004995,0,0,0,0,0,0,0,0,4,1.75
LPT1616,LPT16,2016,Long Point,Treatment,9.995002499,4.997501249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049975012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.96001999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.997501249,0,0,0,0,0,0,0,0,3,0
LPT1716,LPT17,2016,Long Point,Treatment,14.97005988,4.99001996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.86027944,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99001996,0,0.0499002,0.0499002,0,0.0499002,0,0,0,0,0,4.99001996,0,0,0,0,0,0,0,0,7,2.714285714
LPT1816,LPT18,2016,Long Point,Treatment,9.99000999,4.995004995,4.995004995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.92007992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,3,0
LPT1916,LPT19,2016,Long Point,Treatment,4.995004995,9.99000999,4.995004995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.92007992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,3,0
LPT2016,LPT20,2016,Long Point,Treatment,14.98501499,4.995004995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.92007992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,3,0
LPT4116,LPT41,2016,Long Point,Treatment,4.995004995,4.995004995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.91008991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,3,0
LPT4216,LPT42,2016,Long Point,Treatment,4.997501249,4.997501249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049975012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.95502249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
LPT4316,LPT43,2016,Long Point,Treatment,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,3,0
LPT4416,LPT44,2016,Long Point,Treatment,4.997501249,4.997501249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049975012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.96001999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.995002499,0,0,0,0,0,0,0,0,3,0
RPC0216,RPC02,2016,Rondeau,Control,4.992511233,4.992511233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.8652022,0,0,0,0,0,0,0,0,0,0.049925112,0,0,0,0,0,0,0.049925112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.5
RPC0316,RPC03,2016,Rondeau,Control,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0
RPC0416,RPC04,2016,Rondeau,Control,9.99000999,9.99000999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.96003996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,39.96003996,0,0,0,0,0,0,0,0,4,0
RPC0516,RPC05,2016,Rondeau,Control,9.995002499,4.997501249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049975012,0,0,0,0,0,0,0,0,0,0,0,4.997501249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.96001999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.333333333
RPC0616,RPC06,2016,Rondeau,Control,4.995004995,4.995004995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.92007992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,9.99000999,0,0,0,0,0,0,0,0,4,1.25
RPC0716,RPC07,2016,Rondeau,Control,9.985022466,4.992511233,0,0,0,0,0,0,0,4.992511233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925112,0,0,0,0,0,0,0,0,0,4.992511233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.89515726,0,0,0,0,0,0,0,0,0,0,0,0,0,4.992511233,0,0.049925112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925112,0,7,3.428571429
RPC0816,RPC08,2016,Rondeau,Control,9.970089731,4.985044865,0,0,0,0,0,0,0,0.049850449,0,0.049850449,0,4.985044865,0,0,0.049850449,0,0,0,29.91026919,0,0,0,0,0,0,0,0,0.049850449,0,0,0,0,0,0,0,0,0,0.049850449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.85044865,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049850449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4.333333333
RPC0916,RPC09,2016,Rondeau,Control,4.992511233,4.992511233,0,0,0,0,0,0,0,0,0,0,0,14.9775337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925112,0,0,0,0,0,0,0,0,0,0,4.992511233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.89515726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049925112,0,6,4.5
RPC1016,RPC10,2016,Rondeau,Control,4.987531172,4.987531172,0,0,0,0,0,0,0,0.049875312,0,0.049875312,0,4.987531172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049875312,0,0,0,0,0,0,0,0,0,0,0.049875312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.82543641,4.987531172,0,0,0,0,0,0,0,0,0,0,0,0,0.049875312,0,0,0,0,0,0,0,0,0,0,4.987531172,0,0,0,0,0,0,4.987531172,0,10,4.3
RPC1116,RPC11,2016,Rondeau,Control,4.987531172,4.987531172,0,0,0,0,0,0,0,0.049875312,0,0,0,0,0,0,4.987531172,0,0,0,0,0,0,0,0,0,0,0,4.987531172,0.049875312,0,0,0,0,0,0,0,0,0,9.975062344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.82543641,0.049875312,0,0,0,0,0,0,0,0,0,0,0,0,0.049875312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049875312,0,9,4.333333333
RPC1216,RPC12,2016,Rondeau,Control,4.99001996,4.99001996,0,0,0,0,0,0,0,0,0,0,0,4.99001996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499002,0.0499002,0,0,0,0,0,0,0,0,0,0.0499002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.84031936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0499002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99001996,0,7,4.571428571
RPC1316,RPC13,2016,Rondeau,Control,9.99000999,4.995004995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04995005,0,4.995004995,0,0,0,0,0,0,0,0,0,0,0.04995005,0,0,0,0,0,0,0,0,0,79.92007992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.5
